"filename", "language", "Java", "Markdown", "SQL", "comment", "blank", "total"
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\README.md", "Markdown", 0, -4, 0, 0, -1, -5
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\sql\gasms.sql", "SQL", 0, 0, -135, -42, -28, -205
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\sql\gasdms.sql", "SQL", 0, 0, 135, 42, 28, 205
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\UserCommunityCon.java", "Java", 35, 0, 0, 26, 6, 67
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Controller\UserTypeCon.java", "Java", -35, 0, 0, -26, -6, -67
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\UserAccess.java", "Java", -2, 0, 0, 0, 0, -2
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\UserCommunityAccess.java", "Java", 61, 0, 0, 25, 4, 90
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\access\UserTypeAccess.java", "Java", -61, 0, 0, -25, -4, -90
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Gas.java", "Java", -52, 0, 0, -4, -17, -73
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\GasType.java", "Java", -17, 0, 0, -5, -7, -29
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Gas.java", "Java", 52, 0, 0, 4, 17, 73
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\GasType.java", "Java", 17, 0, 0, 3, 7, 27
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\Reader.java", "Java", -80, 0, 0, -5, -25, -110
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\ReaderType.java", "Java", -31, 0, 0, -4, -10, -45
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\User.java", "Java", 61, 0, 0, 5, 19, 85
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Model\table\userCommunity.java", "Java", 31, 0, 0, 4, 10, 45
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\Tool\PubJdialog.java", "Java", -1, 0, 0, 0, 1, 0
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\Login.java", "Java", 2, 0, 0, 0, 1, 3
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageGas.java", "Java", -319, 0, 0, -40, -14, -373
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageGasType.java", "Java", -144, 0, 0, -8, -10, -162
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageFace.java", "Java", -3, 0, 0, 0, -1, -4
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageGas.java", "Java", 319, 0, 0, 40, 14, 373
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageReader.java", "Java", -187, 0, 0, -15, -6, -208
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\ManageUser.java", "Java", 185, 0, 0, 15, 6, 206
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\UserGas.java", "Java", -303, 0, 0, -49, -13, -365
"c:\Users\11818\Desktop\GasDeliveryManagementSystem\src\View\UserGas.java", "Java", 303, 0, 0, 49, 13, 365
"Total", "-", -169, -4, 0, -10, -16, -199